Afghanistan, Low-income economies
Korea, Dem. People's Rep, Low-income economies
South Sudan, Low-income economies
Burkina Faso, Low-income economies
Liberia, Low-income economies
Sudan, Low-income economies
Burundi, Low-income economies
Madagascar, Low-income economies
Syrian Arab Republic, Low-income economies
Central African Republic, Low-income economies
Malawi, Low-income economies
Togo, Low-income economies
Chad, Low-income economies
Mali, Low-income economies
Uganda, Low-income economies
Congo, Dem. Rep, Low-income economies
Mozambique, Low-income economies
Yemen, Rep., Low-income economies
Eritrea, Low-income economies
Niger, Low-income economies
Ethiopia, Low-income economies
Rwanda, Low-income economies
Gambia, The, Low-income economies
Sierra Leone, Low-income economies
Guinea-Bissau, Low-income economies
Somalia, Low-income economies
Angola, Lower-middle income economies
Honduras, Lower-middle income economies
Papua New Guinea, Lower-middle income economies
Bangladesh, Lower-middle income economies
India, Lower-middle income economies
Philippines, Lower-middle income economies
Benin, Lower-middle income economies
Jordan, Lower-middle income economies
Samoa, Lower-middle income economies
Bhutan, Lower-middle income economies
Kenya, Lower-middle income economies
Sao Tome and Principe, Lower-middle income economies
Bolivia, Lower-middle income economies
Kiribati, Lower-middle income economies
Senegal, Lower-middle income economies
Cabo Verde, Lower-middle income economies
Kyrgyz Republic, Lower-middle income economies
Solomon Islands, Lower-middle income economies
Cambodia, Lower-middle income economies
Lao PDR, Lower-middle income economies
Sri Lanka, Lower-middle income economies
Cameroon, Lower-middle income economies
Lebanon, Lower-middle income economies
Tajikistan, Lower-middle income economies
Comoros, Lower-middle income economies
Lesotho, Lower-middle income economies
Tanzania, Lower-middle income economies
Congo, Rep., Lower-middle income economies
Mauritania, Lower-middle income economies
Timor-Leste, Lower-middle income economies
Ivory Coast, Lower-middle income economies
Micronesia, Fed. Sts., Lower-middle income economies
Tunisia, Lower-middle income economies
Djibouti, Lower-middle income economies
Morocco, Lower-middle income economies
Uzbekistan, Lower-middle income economies
Egypt, Arab Rep., Lower-middle income economies
Myanmar, Lower-middle income economies
Vanuatu, Lower-middle income economies
Eswatini, Lower-middle income economies
Nepal, Lower-middle income economies
Vietnam, Lower-middle income economies
Ghana, Lower-middle income economies
Nicaragua, Lower-middle income economies
West Bank and Gaza, Lower-middle income economies
Guinea, Lower-middle income economies
Nigeria, Lower-middle income economies
Zambia, Lower-middle income economies
Haiti, Lower-middle income economies
Pakistan, Lower-middle income economies
Zimbabwe, Lower-middle income economies
Albania, Upper-middle-income economies
Equatorial Guinea, Upper-middle-income economies
Moldova, Upper-middle-income economies
Algeria, Upper-middle-income economies
Fiji, Upper-middle-income economies
Mongolia, Upper-middle-income economies
Argentina, Upper-middle-income economies
Gabon, Upper-middle-income economies
Montenegro, Upper-middle-income economies
Armenia, Upper-middle-income economies
Georgia, Upper-middle-income economies
Namibia, Upper-middle-income economies
Azerbaijan, Upper-middle-income economies
Grenada, Upper-middle-income economies
North Macedonia, Upper-middle-income economies
Belarus, Upper-middle-income economies
Guatemala, Upper-middle-income economies
Paraguay, Upper-middle-income economies
Belize, Upper-middle-income economies
Indonesia, Upper-middle-income economies
Peru, Upper-middle-income economies
Bosnia and Herzegovina, Upper-middle-income economies
Iran, Islamic Rep., Upper-middle-income economies
Serbia, Upper-middle-income economies
Botswana, Upper-middle-income economies
Iraq, Upper-middle-income economies
South Africa, Upper-middle-income economies
Brazil, Upper-middle-income economies
Jamaica, Upper-middle-income economies
St. Lucia, Upper-middle-income economies
China, Upper-middle-income economies
Kazakhstan, Upper-middle-income economies
St. Vincent and the Grenadines, Upper-middle-income economies
Colombia, Upper-middle-income economies
Kosovo, Upper-middle-income economies
Suriname, Upper-middle-income economies
Costa Rica, Upper-middle-income economies
Libya, Upper-middle-income economies
Thailand, Upper-middle-income economies
Cuba, Upper-middle-income economies
Malaysia, Upper-middle-income economies
Tonga, Upper-middle-income economies
Dominica, Upper-middle-income economies
Maldives, Upper-middle-income economies
Turkiye, Upper-middle-income economies
Dominican Republic, Upper-middle-income economies
Marshall Islands, Upper-middle-income economies
Turkmenistan, Upper-middle-income economies
Ecuador, Upper-middle-income economies
Mauritius, Upper-middle-income economies
Tuvalu, Upper-middle-income economies
El Salvador, Upper-middle-income economies
Mexico, Upper-middle-income economies
Ukraine, Upper-middle-income economies
American Samoa, High-income economies
Gibraltar, High-income economies
Palau, High-income economies
Andorra, High-income economies
Greece, High-income economies
Panama, High-income economies
Antigua and Barbuda, High-income economies
Greenland, High-income economies
Poland, High-income economies
Aruba, High-income economies
Guam, High-income economies
Portugal, High-income economies
Australia, High-income economies
Guyana, High-income economies
Puerto Rico, High-income economies
Austria, High-income economies
Hong Kong SAR, China, High-income economies
Qatar, High-income economies
Bahamas, The, High-income economies
Hungary, High-income economies
Romania, High-income economies
Bahrain, High-income economies
Iceland, High-income economies
Russian Federation, High-income economies
Barbados, High-income economies
Ireland, High-income economies
San Marino, High-income economies
Belgium, High-income economies
Isle of Man, High-income economies
Saudi Arabia, High-income economies
Bermuda, High-income economies
Israel, High-income economies
Seychelles, High-income economies
British Virgin Islands, High-income economies
Italy, High-income economies
Singapore, High-income economies
Brunei Darussalam, High-income economies
Japan, High-income economies
Sint Maarten (Dutch part), High-income economies
Bulgaria, High-income economies
Korea, Rep., High-income economies
Slovak Republic, High-income economies
Canada, High-income economies
Kuwait, High-income economies
Slovenia, High-income economies
Cayman Islands, High-income economies
Latvia, High-income economies
Spain, High-income economies
Channel Islands, High-income economies
Liechtenstein, High-income economies
St. Kitts and Nevis, High-income economies
Chile, High-income economies
Lithuania, High-income economies
St. Martin (French part), High-income economies
Croatia, High-income economies
Luxembourg, High-income economies
Sweden, High-income economies
Curacao, High-income economies
Macao SAR, China, High-income economies
Switzerland, High-income economies
Cyprus, High-income economies
Malta, High-income economies
Taiwan, China, High-income economies
Czechia, High-income economies
Monaco, High-income economies
Trinidad and Tobago, High-income economies
Denmark, High-income economies
Nauru, High-income economies
Turks and Caicos Islands, High-income economies
Estonia, High-income economies
Netherlands, High-income economies
United Arab Emirates, High-income economies
Faroe Islands, High-income economies
New Caledonia, High-income economies
United Kingdom, High-income economies
Finland, High-income economies
New Zealand, High-income economies
United States, High-income economies
France, High-income economies
Northern Mariana Islands, High-income economies
Uruguay, High-income economies
French Polynesia, High-income economies
Norway, High-income economies
Virgin Islands (U.S.), High-income economies
Germany, High-income economies
Oman, High-income economies
